"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.923","0"
"2021","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2023","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","All","White","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2011","All","White","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2012","All","White","Main scheme applicant","Not main scheme application","40","35","0.875","0"
"2013","All","White","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2014","All","White","Main scheme applicant","Not main scheme application","55","45","0.772","0"
"2015","All","White","Main scheme applicant","Not main scheme application","50","50","0.9420000000000001","0"
"2016","All","White","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2017","All","White","Main scheme applicant","Not main scheme application","45","35","0.86","0"
"2018","All","White","Main scheme applicant","Not main scheme application","40","35","0.846","0"
"2019","All","White","Main scheme applicant","Not main scheme application","45","40","0.909","0"
"2020","All","White","Main scheme applicant","Not main scheme application","55","50","0.909","0"
"2021","All","White","Main scheme applicant","Not main scheme application","35","30","0.8240000000000001","0"
"2022","All","White","Main scheme applicant","Not main scheme application","40","35","0.8250000000000001","0"
"2023","All","White","Main scheme applicant","Not main scheme application","40","35","0.878","0"
"2018","All","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","All","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","All","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","All","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","All","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","All","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","All","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","All","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","All","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","All","Asian","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2018","All","Asian","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2019","All","Asian","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2020","All","Asian","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2021","All","Asian","Main scheme applicant","Not main scheme application","20","15","0.714","0"
"2022","All","Asian","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2023","All","Asian","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2012","All","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","All","Mixed","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","All","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","All","Mixed","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","All","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","All","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","All","White","Main scheme applicant","Main scheme application","1325","1205","0.909","0"
"2011","All","White","Main scheme applicant","Main scheme application","1445","1315","0.909","0"
"2012","All","White","Main scheme applicant","Main scheme application","1430","1265","0.885","0"
"2013","All","White","Main scheme applicant","Main scheme application","1600","1450","0.904","0"
"2014","All","White","Main scheme applicant","Main scheme application","1595","1435","0.899","0"
"2015","All","White","Main scheme applicant","Main scheme application","1650","1485","0.899","0"
"2016","All","White","Main scheme applicant","Main scheme application","1600","1440","0.902","0"
"2017","All","White","Main scheme applicant","Main scheme application","1645","1485","0.904","0"
"2018","All","White","Main scheme applicant","Main scheme application","1670","1520","0.909","0"
"2019","All","White","Main scheme applicant","Main scheme application","1550","1425","0.918","0"
"2020","All","White","Main scheme applicant","Main scheme application","1725","1555","0.901","0"
"2021","All","White","Main scheme applicant","Main scheme application","1940","1785","0.919","0"
"2022","All","White","Main scheme applicant","Main scheme application","1915","1735","0.905","0"
"2023","All","White","Main scheme applicant","Main scheme application","1950","1810","0.928","0"
"2011","All","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","All","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","All","Black","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2014","All","Black","Main scheme applicant","Main scheme application","10","10","1","0"
"2015","All","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2016","All","Black","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2017","All","Black","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2018","All","Black","Main scheme applicant","Main scheme application","25","20","0.769","0"
"2019","All","Black","Main scheme applicant","Main scheme application","20","20","0.9","0"
"2020","All","Black","Main scheme applicant","Main scheme application","45","40","0.864","0"
"2021","All","Black","Main scheme applicant","Main scheme application","40","30","0.738","0"
"2022","All","Black","Main scheme applicant","Main scheme application","45","35","0.761","0"
"2023","All","Black","Main scheme applicant","Main scheme application","80","70","0.911","0"
"2010","All","Asian","Main scheme applicant","Main scheme application","75","60","0.8130000000000001","0"
"2011","All","Asian","Main scheme applicant","Main scheme application","80","65","0.838","0"
"2012","All","Asian","Main scheme applicant","Main scheme application","100","75","0.755","0"
"2013","All","Asian","Main scheme applicant","Main scheme application","95","75","0.785","0"
"2014","All","Asian","Main scheme applicant","Main scheme application","95","85","0.896","0"
"2015","All","Asian","Main scheme applicant","Main scheme application","145","120","0.84","0"
"2016","All","Asian","Main scheme applicant","Main scheme application","145","120","0.8220000000000001","0"
"2017","All","Asian","Main scheme applicant","Main scheme application","160","130","0.801","0"
"2018","All","Asian","Main scheme applicant","Main scheme application","165","130","0.81","0"
"2019","All","Asian","Main scheme applicant","Main scheme application","180","155","0.866","0"
"2020","All","Asian","Main scheme applicant","Main scheme application","250","205","0.8310000000000001","0"
